"name","operation","width","height","options"
"Fit","fit","65","65",""
"Crop","pad","98","148",""
"Float Crop","crop","242","162","float-x:0.8,float-y:0.2"
"Pad 1","pad","220","220","background-color:0xeeede8"
"Pad 2","pad","40","40","background-color:0xF0F0F0"
"Pad 3","pad","65","65","background-color:0xF0F0F0"
"Float Pad","pad","50","50","float-x:0.8,float-y:0.2"
"Limit","limit","80","60",""
"Large","limit","1200","900","background-color:white,interlace:PlaneInterlace"
"Storage","limit","2160","2160","quality:95"
